Country,Region,Happiness,GDP,Support,Life_Exp,Freedom,Corruption,Generosity,Year
Kyrgyzstan,Commonwealth of Independent States,4.698,8.258,0.833,60.26,0.684,0.929,-0.091,2007
Moldova,Commonwealth of Independent States,4.775,8.968,0.804,60.76,0.696,0.93,-0.186,2007
Russia,Commonwealth of Independent States,5.223,10.074,0.885,59.26,0.593,0.933,-0.284,2007
Tajikistan,Commonwealth of Independent States,4.432,7.609,0.727,61.08,0.818,0.659,0,2007
Ukraine,Commonwealth of Independent States,5.252,9.459,0.82,60.64,0.494,0.968,-0.241,2007
China,East Asia,4.863,8.824,0.811,67.06,0,0,-0.176,2007
Japan,East Asia,6.238,10.558,0.938,73.44,0.796,0.809,-0.09,2007
Mongolia,East Asia,4.609,8.833,0.881,58.82,0.781,0.918,0.064,2007
South Korea,East Asia,5.767,10.361,0.827,70.5,0.656,0.803,-0.059,2007
Argentina,Latin America and Caribbean,6.073,10.018,0.862,66.94,0.653,0.881,-0.141,2007
Belize,Latin America and Caribbean,6.451,8.892,0.872,61.6,0.705,0.769,0.033,2007
Bolivia,Latin America and Caribbean,5.628,8.714,0.796,59.5,0.78,0.817,0.001,2007
Brazil,Latin America and Caribbean,6.321,9.515,0.886,63.78,0.777,0.728,-0.016,2007
Chile,Latin America and Caribbean,5.698,9.887,0.815,68.72,0.662,0.723,0.244,2007
Colombia,Latin America and Caribbean,6.138,9.33,0.894,65.34,0.786,0.86,-0.04,2007
Costa Rica,Latin America and Caribbean,7.432,9.63,0.918,69.88,0.923,0.82,0.098,2007
Dominican Republic,Latin America and Caribbean,5.081,9.372,0.848,62.96,0.886,0.772,-0.008,2007
Ecuador,Latin America and Caribbean,4.996,9.191,0.839,66.26,0.67,0.83,-0.063,2007
El Salvador,Latin America and Caribbean,5.296,8.887,0.717,63.24,0.639,0.785,-0.015,2007
Guatemala,Latin America and Caribbean,6.33,8.891,0.866,61.08,0.628,0.81,0.136,2007
Honduras,Latin America and Caribbean,5.097,8.5,0.819,64.78,0.676,0.826,0.23,2007
Mexico,Latin America and Caribbean,6.525,9.825,0.879,66.32,0.67,0.747,-0.095,2007
Nicaragua,Latin America and Caribbean,4.944,8.434,0.866,64.48,0.836,0.826,0.14,2007
Panama,Latin America and Caribbean,6.894,9.859,0.937,68,0.64,0.915,0.083,2007
Paraguay,Latin America and Caribbean,5.272,9.126,0.863,63.84,0.699,0.93,0.132,2007
Peru,Latin America and Caribbean,5.214,9.063,0.756,65.58,0.638,0.931,-0.078,2007
Uruguay,Latin America and Caribbean,5.694,9.604,0.875,67.58,0.786,0.614,-0.165,2007
Egypt,Middle East and North Africa,5.541,9.135,0.686,59.82,0.609,0,-0.121,2007
Iran,Middle East and North Africa,5.336,9.497,0.718,62.76,0.533,0.872,0.056,2007
Israel,Middle East and North Africa,6.841,10.428,0.868,71.44,0.683,0.868,0.219,2007
Jordan,Middle East and North Africa,5.598,9.321,0.841,63.98,0.646,0.664,-0.112,2007
Palestinian Territories,Middle East and North Africa,4.151,8.218,0.712,61.897,0.365,0.844,-0.08,2007
Saudi Arabia,Middle East and North Africa,7.267,10.689,0.892,63.86,0.622,0,0.005,2007
Turkey,Middle East and North Africa,5.623,9.903,0.792,63.32,0.459,0.8,-0.178,2007
Yemen,Middle East and North Africa,4.477,8.214,0.825,53.4,0.673,0,0.011,2007
Canada,North America and ANZ,7.482,10.739,0,71.66,0.93,0.406,0.249,2007
United States,North America and ANZ,7.513,10.933,0,68.22,0.872,0.633,0.197,2007
Bangladesh,South Asia,4.607,7.839,0.514,59.44,0.605,0.806,0.04,2007
India,South Asia,5.027,8.204,0.569,56.14,0.729,0.862,-0.051,2007
Nepal,South Asia,4.748,7.638,0.787,57.7,0.413,0.891,0.317,2007
Pakistan,South Asia,5.671,8.277,0.479,55,0.396,0.794,0.089,2007
Sri Lanka,South Asia,4.415,8.97,0.838,65.86,0.736,0.847,0.11,2007
Cambodia,Southeast Asia,4.156,7.829,0.675,56.1,0.819,0.879,0.116,2007
Indonesia,Southeast Asia,5.101,8.898,0.704,59.98,0.603,0.96,0.311,2007
Laos,Southeast Asia,5.364,8.307,0.79,54.44,0.867,0.58,0.478,2007
Malaysia,Southeast Asia,6.239,9.881,0.871,65.12,0.844,0.799,0.089,2007
Philippines,Southeast Asia,5.074,8.608,0.801,60,0.852,0.88,-0.022,2007
Singapore,Southeast Asia,6.834,11.212,0.921,73.9,0.867,0.064,0.293,2007
Thailand,Southeast Asia,5.784,9.508,0.889,64.48,0.87,0.898,0.391,2007
Vietnam,Southeast Asia,5.422,8.394,0.856,66.02,0.918,0.754,0.089,2007
Burkina Faso,Sub-Saharan Africa,4.017,7.377,0.771,47.42,0.582,0.833,-0.06,2007
Cameroon,Sub-Saharan Africa,4.35,8.028,0.717,46.56,0.644,0.91,-0.031,2007
Central African Republic,Sub-Saharan Africa,4.16,6.987,0.532,40.9,0.663,0.782,0.081,2007
Chad,Sub-Saharan Africa,4.141,7.359,0.479,43.66,0.295,0.874,-0.011,2007
Ghana,Sub-Saharan Africa,5.22,8.09,0.73,52.78,0.891,0.771,0.138,2007
Kenya,Sub-Saharan Africa,4.576,8.078,0.841,51.54,0.75,0.799,0.054,2007
Liberia,Sub-Saharan Africa,3.701,7.196,0.594,49.14,0.79,0.776,0.115,2007
Malawi,Sub-Saharan Africa,4.891,6.742,0.6,46.26,0.91,0.691,0.202,2007
Mauritania,Sub-Saharan Africa,4.149,8.533,0.682,53.66,0.573,0.586,-0.072,2007
Mozambique,Sub-Saharan Africa,4.833,6.823,0.748,45.5,0.643,0.854,0.074,2007
Namibia,Sub-Saharan Africa,4.886,9.059,0.828,49.68,0.781,0.839,-0.101,2007
Niger,Sub-Saharan Africa,4.277,6.881,0.726,47.12,0.584,0.748,-0.056,2007
Nigeria,Sub-Saharan Africa,4.89,8.364,0.718,44.64,0.635,0.918,0.136,2007
Senegal,Sub-Saharan Africa,4.68,7.903,0.718,54.06,0.698,0.827,-0.002,2007
Sierra Leone,Sub-Saharan Africa,3.585,7.187,0.686,41.2,0.72,0.83,0.248,2007
South Africa,Sub-Saharan Africa,5.204,9.426,0.788,48.64,0.69,0.859,-0.158,2007
Tanzania,Sub-Saharan Africa,4.318,7.522,0.708,49.6,0.716,0.707,-0.013,2007
Uganda,Sub-Saharan Africa,4.456,7.419,0.845,47.46,0.708,0.881,-0.001,2007
Zambia,Sub-Saharan Africa,3.998,7.871,0.688,45.72,0.682,0.948,-0.067,2007
Zimbabwe,Sub-Saharan Africa,3.28,7.666,0.828,42.86,0.456,0.946,-0.082,2007
Belgium,Western Europe,7.219,10.792,0.922,70.26,0.901,0.721,0.069,2007
Denmark,Western Europe,7.834,10.891,0.954,69.92,0.932,0.206,0.24,2007
Germany,Western Europe,6.417,10.759,0.926,70.48,0.801,0.792,0.167,2007
Greece,Western Europe,6.647,10.543,0.808,70.9,0.575,0.845,-0.19,2007
Italy,Western Europe,6.574,10.727,0.912,72.26,0.684,0.922,0.113,2007
Netherlands,Western Europe,7.452,10.881,0.944,70.8,0.896,0.445,0.344,2007
Spain,Western Europe,6.995,10.587,0.957,72.06,0.782,0.784,-0.093,2007
Sweden,Western Europe,7.241,10.806,0.917,71.48,0.91,0.289,0.146,2007
United Kingdom,Western Europe,6.802,10.699,0.97,70.46,0.838,0.498,0.336,2007
Guyana,Latin America and Caribbean,5.993,8.773,0.849,57.26,0.694,0.836,0.11,2007
Australia,Australia and New Zealand,7.254,10.719,0.947,71.88,0.916,0.431,0.305,2008
New Zealand,Australia and New Zealand,7.381,10.528,0.944,71.6,0.893,0.334,0.298,2008
Estonia,Central and Eastern Europe,5.452,10.298,0.904,65.78,0.642,0.663,-0.217,2008
Kosovo,Central and Eastern Europe,5.522,8.981,0.884,0,0,0.849,0.09,2008
Latvia,Central and Eastern Europe,5.145,10.112,0.855,63.88,0.63,0.926,-0.203,2008
Lithuania,Central and Eastern Europe,5.554,10.199,0.914,63.82,0.621,0.961,-0.259,2008
Armenia,Commonwealth of Independent States,4.652,9.256,0.709,65,0.462,0.876,-0.215,2008
Azerbaijan,Commonwealth of Independent States,4.817,9.465,0.684,62.64,0.601,0.715,-0.029,2008
Belarus,Commonwealth of Independent States,5.463,9.677,0.904,61.7,0.64,0.696,-0.22,2008
Georgia,Commonwealth of Independent States,4.156,9.144,0.608,64.96,0.614,0.498,-0.224,2008
Kazakhstan,Commonwealth of Independent States,5.886,9.898,0.839,59.2,0.727,0.899,-0.221,2008
Kyrgyzstan,Commonwealth of Independent States,4.737,8.329,0.792,60.54,0.719,0.923,-0.1,2008
Moldova,Commonwealth of Independent States,5.503,9.045,0.872,60.94,0.641,0.926,-0.056,2008
Russia,Commonwealth of Independent States,5.619,10.125,0.882,59.84,0.643,0.924,-0.305,2008
Tajikistan,Commonwealth of Independent States,5.064,7.665,0.701,61.52,0.816,0.723,0.018,2008
Ukraine,Commonwealth of Independent States,5.172,9.488,0.86,61.16,0.487,0.929,-0.265,2008
Uzbekistan,Commonwealth of Independent States,5.311,8.339,0.894,62.32,0.831,0,-0.023,2008
China,East Asia,4.846,8.911,0.748,67.24,0.853,0,-0.092,2008
Hong Kong,East Asia,5.137,10.816,0.84,0,0.922,0.274,0.296,2008
Japan,East Asia,5.911,10.546,0.887,73.56,0.772,0.816,-0.135,2008
Mongolia,East Asia,4.493,8.904,0.92,59.28,0.484,0.962,0.068,2008
South Korea,East Asia,5.39,10.383,0.754,70.8,0.524,0.771,-0.102,2008
Argentina,Latin America and Caribbean,5.961,10.048,0.892,67.06,0.678,0.865,-0.132,2008
Bolivia,Latin America and Caribbean,5.298,8.756,0.785,60,0.726,0.801,-0.092,2008
Brazil,Latin America and Caribbean,6.691,9.555,0.878,64.02,0.782,0.688,-0.078,2008
Chile,Latin America and Caribbean,5.789,9.911,0.804,68.78,0.64,0.741,0.084,2008
Colombia,Latin America and Caribbean,6.168,9.351,0.88,65.46,0.795,0.763,-0.042,2008
Costa Rica,Latin America and Caribbean,6.851,9.662,0.916,69.82,0.912,0.816,0.096,2008
Dominican Republic,Latin America and Caribbean,4.842,9.391,0.85,63.24,0.848,0.728,-0.045,2008
Ecuador,Latin America and Caribbean,5.297,9.236,0.829,66.44,0.64,0.801,-0.094,2008
El Salvador,Latin America and Caribbean,5.191,8.908,0.747,63.56,0.636,0.735,-0.078,2008
Guatemala,Latin America and Caribbean,6.414,8.904,0.866,61.42,0.63,0.796,0.206,2008
Haiti,Latin America and Caribbean,3.846,7.417,0.679,40.38,0.465,0.812,0.261,2008
Honduras,Latin America and Caribbean,5.42,8.52,0.828,65.02,0.687,0.863,0.223,2008
Mexico,Latin America and Caribbean,6.829,9.821,0.876,66.38,0.677,0.785,-0.128,2008
Nicaragua,Latin America and Caribbean,5.104,8.454,0.857,64.82,0.791,0.819,0.076,2008
Panama,Latin America and Caribbean,6.931,9.935,0.922,68.1,0.707,0.881,0.06,2008
Paraguay,Latin America and Caribbean,5.57,9.174,0.889,64.06,0.649,0.891,0.057,2008
Peru,Latin America and Caribbean,5.129,9.142,0.777,65.82,0.638,0.896,-0.067,2008
Uruguay,Latin America and Caribbean,5.664,9.671,0.879,67.72,0.808,0.597,-0.143,2008
Venezuela,Latin America and Caribbean,6.258,9.701,0.922,65.58,0.678,0.776,-0.225,2008
Egypt,Middle East and North Africa,4.632,9.186,0.738,59.88,0,0.914,-0.087,2008
Iran,Middle East and North Africa,5.129,9.489,0.633,63.14,0.601,0.868,0.052,2008
Iraq,Middle East and North Africa,4.59,9.063,0.744,58.32,0.386,0.91,-0.061,2008
Israel,Middle East and North Africa,7.261,10.44,0.859,71.76,0.663,0.898,0.139,2008
Jordan,Middle East and North Africa,4.93,9.343,0.766,64.22,0,0.709,-0.127,2008
Lebanon,Middle East and North Africa,4.595,9.743,0.717,64.96,0.524,0.927,0.035,2008
Palestinian Territories,Middle East and North Africa,4.386,8.276,0.666,62.015,0.358,0.753,-0.07,2008
Saudi Arabia,Middle East and North Africa,6.811,10.722,0.823,64.04,0.532,0.508,-0.022,2008
Syria,Middle East and North Africa,5.323,8.652,0.712,63.9,0.661,0.68,0.122,2008
Turkey,Middle East and North Africa,5.118,9.899,0.645,63.68,0.415,0.785,-0.189,2008
Canada,North America and ANZ,7.486,10.738,0.939,71.84,0.926,0.37,0.262,2008
United States,North America and ANZ,7.28,10.922,0.953,68.38,0.878,0.668,0.255,2008
Afghanistan,South Asia,3.724,7.37,0.451,50.8,0.718,0.882,0.168,2008
Bangladesh,South Asia,5.052,7.886,0.467,59.86,0.606,0.802,-0.044,2008
India,South Asia,5.146,8.22,0.684,56.56,0.756,0.891,-0.072,2008
Nepal,South Asia,4.441,7.686,0.818,58.2,0.618,0.9,0.291,2008
Pakistan,South Asia,4.414,8.271,0.373,55.4,0.335,0.848,0.1,2008
Sri Lanka,South Asia,4.431,9.021,0.816,65.94,0.834,0.861,0.163,2008
Cambodia,Southeast Asia,4.462,7.879,0.619,56.9,0.914,0.888,0.045,2008
Indonesia,Southeast Asia,4.815,8.943,0.675,60.12,0.596,0.968,0.164,2008
Laos,Southeast Asia,5.044,8.366,0.807,54.96,0.886,0.637,0.416,2008
Malaysia,Southeast Asia,5.807,9.909,0.803,65.28,0.78,0.884,0.044,2008
Philippines,Southeast Asia,4.589,8.634,0.798,60.2,0.861,0.817,0.083,2008
Singapore,Southeast Asia,6.642,11.178,0.845,74.2,0.661,0.066,0.046,2008
Thailand,Southeast Asia,5.636,9.52,0.832,64.82,0.868,0.933,0.425,2008
Vietnam,Southeast Asia,5.48,8.44,0.805,66.18,0.889,0.789,0.201,2008
Benin,Sub-Saharan Africa,3.667,7.915,0.382,50.9,0.709,0.825,-0.004,2008
Botswana,Sub-Saharan Africa,5.451,9.59,0.832,49.86,0.858,0.806,-0.164,2008
Burkina Faso,Sub-Saharan Africa,3.846,7.403,0.727,48.18,0.612,0.887,-0.101,2008
Burundi,Sub-Saharan Africa,3.563,6.719,0.291,49.02,0.26,0.86,-0.019,2008
Cameroon,Sub-Saharan Africa,4.292,8.034,0.697,47.14,0.58,0.945,-0.069,2008
Chad,Sub-Saharan Africa,4.632,7.356,0.571,44.14,0.527,0.944,0.063,2008
Congo (Brazzaville),Sub-Saharan Africa,3.82,8.082,0.555,52.2,0.526,0,-0.098,2008
Djibouti,Sub-Saharan Africa,5.009,8.111,0.69,53.26,0.773,0.576,0.129,2008
Ghana,Sub-Saharan Africa,4.965,8.152,0.622,53.22,0.838,0.863,0.12,2008
Kenya,Sub-Saharan Africa,4.015,8.052,0.827,52.86,0.62,0.909,-0.012,2008
Liberia,Sub-Saharan Africa,4.221,7.223,0.619,49.96,0.724,0.84,-0.035,2008
Madagascar,Sub-Saharan Africa,4.64,7.439,0.776,54.92,0.332,0.773,-0.099,2008
Mali,Sub-Saharan Africa,4.115,7.607,0.747,47.16,0.495,0.918,-0.012,2008
Mauritania,Sub-Saharan Africa,4.248,8.501,0.67,53.94,0.593,0.841,-0.018,2008
Mozambique,Sub-Saharan Africa,4.654,6.865,0.756,46.2,0.514,0.864,0.006,2008
